Equipo ,Match,Alianza,Auto_Line,Aut_UP,Aut_DOWN,HP,Tele_DOWN,Tele_UP,EndGame,Defense,Fouls,Off
3478 Lambot,36,Roja,Si,1,0,0,0,9,3,No,0,0
4371 ArtMX,36,Azul,No,0,0,0,0,0,0,No,0,1
4731 MonarchE,36,Azul,Si,0,0,0,3,0,0,No,0,0
6702 StingBots,36,Azul,Si,0,0,0,0,0,0,No,0,0
6832 STEAMex,36,Roja,Si,0,1,0,0,1,3,No,0,0
4010 Nautilus,37,Roja,Si,0,1,0,0,3,2,No,0,0
4403 Roult,37,Roja,Si,0,0,0,0,0,0,Sí,0,0
5959 TitaniumRams,37,Roja,Si,0,0,0,0,2,2,Sí,0,0
6106 Tecgear,37,Azul,Si,0,0,0,0,0,0,No,4,0
6676 ThunderHawks,37,Azul,Si,0,0,0,0,0,0,No,4,1
8293 WhiteFox,37,Azul,Si,0,0,0,0,0,0,No,4,0
3510 Tectronic,38,Roja,No,0,0,0,0,0,0,No,0,1
4723 Earth,38,Roja,Si,1,0,0,0,3,0,Sí,0,0
5948 Lebotics,38,Azul,Si,0,0,0,0,1,0,No,0,0
6348 Horus,38,Azul,Si,0,0,0,0,5,2,No,0,0
6694 Innobotics,38,Roja,Si,1,0,1,0,2,2,No,0,0
7725 Nuts&volts,38,Azul,No,0,0,0,0,0,0,No,0,0
3794 WinT,39,Azul,Si,0,0,0,0,0,0,Sí,4,0
4635 BotBusters,39,Azul,Si,2,0,0,0,18,4,No,4,0
4775 Aztech,39,Roja,Si,0,0,0,6,0,2,No,0,0
5716 Keybot,39,Roja,No,0,1,0,0,0,1,No,4,0
5932 Quetzales,39,Azul,Si,0,0,0,0,0,0,No,0,1
8741 Racoons,39,Roja,Si,0,0,1,0,0,0,Sí,0,0
2283 Panteras,40,Azul,No,0,0,0,0,0,0,No,8,1
3472 Buluk,40,Azul,Si,0,0,0,0,0,0,No,8,1
3933 Tamankeet,40,Roja,Si,1,0,0,0,3,2,No,0,0
5696 Faraday,40,Roja,Si,1,0,0,1,2,0,No,8,0
5887 IMPERATOR,40,Azul,Si,0,0,0,3,0,2,No,4,0
7421 OVERTURE,40,Roja,Si,2,0,0,7,0,2,No,0,0
3354 TecDroid,41,Roja,Si,1,0,0,0,1,0,No,0,0
4782 Borrebots,41,Roja,Si,0,0,0,0,4,0,No,0,0
6702 StingBots,41,Roja,Si,1,0,0,0,0,0,No,0,1
6832 STEAMex,41,Azul,Si,0,1,0,0,0,0,No,8,1
8293 WhiteFox,41,Azul,No,0,0,0,0,0,0,No,8,0
4371 ArtMX,42,Roja,Si,0,0,1,0,0,0,No,0,0
6106 Tecgear,42,Azul,Si,0,0,0,0,0,0,No,0,1
6606 PinkHawks,42,Azul,No,0,0,0,0,0,0,Sí,0,1
6694 Innobotics,42,Roja,Si,1,0,0,0,8,2,No,0,0
7725 Nuts&volts,42,Roja,No,0,0,0,0,0,0,No,0,0
3478 Lambot,43,Roja,Si,0,0,0,0,10,0,No,0,1
4723 Earth,43,Azul,No,0,0,0,0,0,0,No,4,1
5716 Keybot,43,Roja,No,0,0,0,0,0,0,No,0,1
5932 Quetzales,43,Roja,Si,0,0,0,0,0,0,Sí,0,0
6170 Vitronik,43,Azul,Si,1,0,0,1,1,0,No,0,0
8244 CBTech,43,Azul,No,0,0,0,0,0,0,No,4,1
3472 Buluk,44,Roja,Si,0,0,0,0,0,0,No,0,1
3510 Tectronic,44,Azul,No,0,0,0,0,0,0,Sí,0,0
4731 MonarchE,44,Roja,Si,0,1,0,4,0,0,No,0,1
5887 IMPERATOR,44,Azul,No,0,1,0,0,0,0,No,0,1
5959 TitaniumRams,44,Azul,Si,0,1,0,0,0,2,No,0,0
8734 B.A.T.S.,44,Roja,Si,0,0,0,0,0,0,No,0,0
6348 Horus,45,Roja,Si,0,0,0,0,0,0,No,4,1
6676 ThunderHawks,45,Roja,No,0,0,0,0,0,0,No,0,1
7421 OVERTURE,45,Roja,Si,2,0,0,7,0,2,No,4,0
8740 QuantumForce,45,Azul,No,0,0,0,0,0,0,Sí,4,1
8776 Northern Lizards,45,Azul,Si,0,0,0,0,0,0,Sí,4,0
2283 Panteras,46,Roja,No,0,0,0,0,0,0,No,0,0
3933 Tamankeet,46,Azul,Si,0,0,0,0,0,0,Sí,8,1
5133 BlueSteel,46,Roja,No,0,0,0,0,0,0,No,8,1
5948 Lebotics,46,Azul,No,0,0,0,0,0,0,No,0,1
6647 Voltec,46,Roja,Si,0,0,0,2,4,2,No,0,0
3354 TecDroid,47,Roja,Si,0,0,0,0,3,0,Sí,4,0
4010 Nautilus,47,Roja,Si,0,0,0,0,0,2,No,4,1
4635 BotBusters,47,Roja,Si,2,0,0,0,13,4,No,4,0
5696 Faraday,47,Azul,Si,0,0,0,0,0,0,Sí,0,0
6694 Innobotics,47,Azul,No,0,0,0,1,2,0,No,4,0
5959 TitaniumRams,48,Azul,Si,0,0,0,0,0,2,No,0,0
6017 Cyberius,48,Roja,Si,0,0,0,0,0,0,Sí,8,1
6832 STEAMex,48,Roja,Si,0,0,0,0,2,3,No,0,0
7725 Nuts&volts,48,Roja,No,0,0,0,0,0,0,No,0,1
4782 Borrebots,49,Azul,Si,0,0,0,1,0,0,No,0,0
5716 Keybot,49,Roja,Si,1,0,0,0,0,0,No,0,1
5887 IMPERATOR,49,Azul,No,0,0,0,2,0,0,No,0,0
6702 StingBots,49,Roja,Si,1,0,0,0,1,0,No,0,1
8740 QuantumForce,49,Roja,No,0,0,0,0,0,0,No,0,1
8741 Racoons,49,Azul,No,0,0,0,0,0,0,No,8,0
3472 Buluk,50,Roja,Si,0,0,0,0,0,0,Sí,0,1
3478 Lambot,50,Azul,Si,0,0,0,1,1,0,No,0,1
4723 Earth,50,Roja,Si,0,0,0,0,2,0,No,0,0
4775 Aztech,50,Roja,Si,0,1,0,6,0,2,No,0,1
6676 ThunderHawks,50,Azul,Si,0,0,0,0,0,0,Sí,0,0
6676 ThunderHawks,50,Azul,Si,0,0,0,0,0,0,Sí,0,0
8776 Northern Lizards,50,Azul,Si,0,0,0,0,0,0,Sí,0,0
3510 Tectronic,51,Azul,No,0,0,0,0,0,0,Sí,0,1
3794 WinT,51,Roja,No,0,0,0,1,0,0,No,0,1
3933 Tamankeet,51,Azul,Si,0,0,0,0,1,2,Sí,0,0
4010 Nautilus,51,Roja,Si,1,0,0,1,5,3,No,0,1
4371 ArtMX,51,Roja,No,1,0,0,0,2,0,No,0,0
6647 Voltec,51,Azul,Si,2,0,0,0,2,2,No,0,0
6647 Voltec,51,Azul,Si,1,0,0,0,3,3,No,0,0
8734 B. A. T. S.,51,Azul,Si,0,0,0,0,0,0,Sí,8,1
4635 BotBusters,52,Roja,Si,1,0,0,0,14,4,No,8,0
5133 BlueSteel,52,Roja,No,0,0,0,0,0,0,No,0,1
5959 Titanium Rams,52,Roja,Si,0,0,0,1,0,0,No,0,1
6106 Tecgear,52,Azul,Si,0,1,0,3,0,0,No,0,0
6348 Horus,52,Azul,Si,1,0,0,2,6,2,No,8,0
8734 B. A. T. S.,52,Azul,Si,0,0,0,0,0,0,Sí,0,1
4731 MonarchE,53,Azul,No,0,1,0,5,0,0,No,0,0
5948 Lebotics,53,Roja,Si,1,0,0,0,2,0,No,0,0
6170 Vitronik,53,Azul,Si,0,0,0,0,0,0,No,0,0
6606 PinkHawks,53,Roja,No,0,0,0,0,0,0,Sí,0,1
7421 OVERTURE,53,Azul,Si,2,0,0,7,1,0,No,0,0
8293 WhiteFox,53,Roja,Si,0,0,1,1,1,0,No,0,0
2283 Panteras,54,Roja,No,0,0,0,0,0,0,No,0,0
3478 Lambot,54,Roja,Si,2,0,0,0,2,2,No,0,1
4403 Roult,54,Azul,Si,1,0,0,0,1,0,Sí,4,0
6017 Cyberius,54,Azul,No,0,0,0,0,0,0,No,4,1
6694 Innobotics,54,Roja,No,1,0,0,1,3,2,No,4,0
8740 QuantumForce,54,Azul,No,0,0,0,0,0,0,Sí,4,0
4371 ArtMX,55,Azul,No,0,0,0,0,0,0,Sí,4,1
4782 Borrebots,55,Roja,Si,0,0,0,0,3,2,No,4,0
5959 Titanium Rams,55,Roja,Si,0,0,0,0,1,2,No,0,1
4723 Earth,55,Roja,No,0,0,0,0,2,0,No,0,0
5887 IMPERATOR,55,Azul,Si,0,1,0,7,0,0,No,4,0
3933 Tamankeet,55,Azul,Si,0,0,0,2,2,0,No,0,0
6676 ThunderHawks,56,Roja,Si,0,0,0,0,0,0,No,0,1
3354 TecDroid,56,Azul,Si,0,0,0,2,2,0,No,0,0
3472 Buluk,56,Roja,No,0,0,0,0,0,0,No,0,1
7725 Nuts&volts,56,Roja,No,0,0,0,0,0,0,No,0,1
3354 TecDroid,56,Azul,Si,0,1,1,2,0,0,No,0,0
6647 Voltec,56,Azul,Si,1,0,0,0,2,2,No,4,0
5716 Keybot,56,Azul,Si,0,0,0,0,3,0,No,4,0
4635 BotBusters,57,Roja,Si,3,0,0,0,17,4,No,4,0
5948 Lebotics,57,Azul,Si,0,0,0,1,4,0,No,0,0
5948 Lebotics,57,Azul,No,0,0,0,0,0,0,No,4,0
8741 Racoons,57,Roja,No,0,0,0,0,0,0,Sí,0,1
5133 BlueSteel,57,Azul,Si,0,0,0,0,0,0,No,0,0
8734 B. A. T. S.,57,Azul,No,0,0,0,0,0,0,No,4,0
4010 Nautilus,58,Azul,Si,1,0,0,0,0,0,No,0,1
7421 OVERTURE,58,Roja,Si,1,0,0,0,6,0,No,8,0
8244 CBTech,58,Azul,No,0,0,0,1,0,0,No,0,1
4403 Roult,58,Roja,Si,1,0,0,0,5,0,No,0,0
5932 Quetzales,58,Roja,Si,0,0,0,0,0,0,Sí,8,0
5133 BlueSteel,58,Azul,Si,0,0,0,0,0,0,No,0,0
8244 CBTech,58,Azul,No,0,0,0,0,0,0,Sí,0,0
8776 Northern Lizards,59,Azul,No,0,0,0,0,0,0,Sí,4,0
3794 WinT,59,Azul,Si,0,0,0,1,0,1,Sí,4,0
8293 WhiteFox,59,Roja,Si,0,0,0,2,0,0,Sí,4,0
8776 Northern Lizards,59,Azul,No,0,0,0,2,0,0,No,4,0
6832 STEAMex,59,Azul,Si,0,0,0,0,0,3,No,4,0
5696 Faraday,59,Roja,Si,0,0,0,3,0,0,No,4,1
2283 Panteras,59,Roja,No,0,0,0,0,0,0,No,4,1
4775 Aztech,60,Roja,Si,0,2,0,4,0,4,No,16,0
6106 Tecgear,60,Roja,Si,0,2,0,0,0,0,No,16,0
6348 Horus,60,Azul,Si,0,0,0,0,4,2,No,4,0
4731 MonarchE,60,Azul,Si,0,1,0,2,2,2,No,4,0
6170 Vitronik,60,Roja,Si,0,1,0,4,0,0,No,4,0
3510 Tectronic,60,Azul,No,0,0,0,0,0,0,No,4,0
6348 Horus,60,Azul,No,1,0,0,0,8,2,No,0,0
4782 Borrebots,61,Roja,Si,0,0,0,0,0,0,No,4,0
3472 Buluk,61,Roja,No,0,0,0,0,0,0,No,0,1
4371 ArtMX,61,Roja,No,0,0,0,0,0,0,No,4,1
6694 Innobotics,61,Azul,Si,0,0,1,1,3,1,No,0,0
6694 Innobotics,61,Azul,Si,1,0,0,0,4,2,No,0,0
4635 BotBusters,61,Azul,Si,1,0,0,0,11,4,No,0,0
5887 IMPERATOR,61,Azul,Si,0,1,1,4,0,2,No,0,0
5133 BlueSteel,62,Azul,No,0,0,0,0,0,0,No,4,1
6647 Voltec,62,Roja,Si,0,0,0,0,0,0,No,0,0
5716 Keybot,52,Azul,Si,0,0,0,0,0,1,No,4,0
5959 Titanium Rams,62,Roja,Si,2,0,0,2,0,0,No,4,0
4723 Earth,62,Azul,Si,0,0,0,0,2,0,No,4,0
7421 OVERTURE,62,Roja,No,0,0,0,15,0,2,No,0,0
8293 WhiteFox,63,Roja,Si,0,0,0,0,0,0,Sí,4,1
3933 Tamankeet,63,Roja,Si,0,0,0,0,7,0,No,12,0
8740 QuantumForce,63,Azul,Si,0,0,0,0,0,0,Sí,12,0
3354 TecDroid,63,Roja,Si,0,0,0,0,0,0,Sí,4,0
3478 Lambot,63,Azul,Si,1,0,0,0,9,0,No,12,0
8740 QuantumForce,63,Azul,No,0,0,0,0,0,0,Sí,12,0
8734 B. A. T. S.,63,Azul,Si,0,0,0,0,0,0,Sí,12,0
5948 Lebotics,64,Roja,No,0,0,0,0,4,0,No,0,0
3510 Tectronic,64,Azul,No,0,0,0,0,0,0,Sí,0,0
6702 StingBots,64,Roja,Si,0,0,0,0,1,0,No,8,1
6017 Cyberius,64,Azul,No,0,0,0,0,0,0,No,0,1
6017 Cyberius,64,Azul,No,0,0,0,0,0,0,No,0,1
4775 Aztech,64,Azul,Si,0,1,0,2,0,3,No,0,0
8244 CBTech,65,Roja,No,0,0,0,0,1,0,No,8,0
6170 Vitronik,65,Azul,Si,1,0,0,0,4,0,No,8,0
6348 Horus,65,Azul,Si,0,0,0,0,3,2,No,0,0
5696 Faraday,65,Azul,Si,0,0,0,1,1,0,No,8,0
6348 Horus,65,Azul,Si,0,0,0,0,5,2,No,8,0
6676 ThunderHawks,65,Roja,Si,0,0,0,0,1,0,Sí,8,1
4731 MonarchE,66,Roja,Si,0,1,0,5,0,0,No,8,0
8741 Racoons,66,Azul,No,0,0,0,0,0,0,Sí,8,0
7725 Nuts&volts,66,Azul,No,0,0,0,0,0,0,No,8,0
2283 Panteras,66,Roja,No,0,0,0,0,0,2,Sí,0,1
4010 Nautilus,66,Azul,No,0,0,0,0,3,0,No,0,0
7725 Nuts&volts,66,Azul,No,0,0,0,0,1,0,No,0,1
6647 Voltec,67,Azul,Si,0,0,0,0,3,2,No,0,0
6606 PinkHawks,67,Azul,No,0,0,0,0,0,0,Sí,0,0
5887 IMPERATOR,67,Roja,Si,0,1,0,3,0,2,No,0,0
3794 WinT,67,Azul,Si,0,0,0,0,0,2,No,9,0
6606 PinkHawks,57,Azul,No,0,0,0,1,0,0,Sí,0,0
6106 Tecgear,67,Roja,Si,0,0,0,0,0,0,Sí,0,1
